common,unique
0.75,0.25
0.85,0.5
0.75,0.5
0.25,0.1
0.85,0.6
0.6,0.25
0.6,0.3
0.75,0.4
0.75,0.5
0.75,0.5
0.75,0.5
0.65,0.3
0.65,0.3
0.85,0.5
0.5,0.3
0.45,0.2
0.85,0.7
0.75,0.5
0.75,0.5
0.75,0.6
0.75,0.5
0.65,0.3
1.0,0.5
0.75,0.4
0.65,0.4
0.75,0.25
0.7,0.5
0.4,0.2
0.75,0.25
0.85,0.5
0.65,0.4
0.7,0.4
0.65,0.3
0.75,0.5
0.85,0.4
0.75,0.25
0.75,0.5
0.75,0.5
0.7,0.3
0.65,0.4
0.5,0.3
0.75,0.25
0.75,0.5
0.65,0.3
0.65,0.3
0.75,0.4
0.85,0.6
0.75,0.5
0.75,0.5
0.75,0.5
0.75,0.4
0.85,0.6
0.75,0.25
0.8,0.5
0.75,0.5
0.75,0.25
0.45,0.5
0.75,0.5
0.85,0.5
0.6,0.25
0.65,0.3
0.75,0.4
0.65,0.45
0.85,0.3
0.75,0.5
0.75,0.25
0.85,0.75
0.6,0.3
0.45,0.3
0.55,0.4
0.85,0.6
0.6,0.3
0.75,0.5
0.85,0.6
0.75,0.5
0.85,0.5
0.7,0.5
0.75,0.5
0.75,0.5
0.65,0.3
0.6,0.4
0.8,0.4
0.65,0.3
0.45,0.25
0.75,0.25
0.35,0.25
0.6,0.3
0.75,0.5
0.75,0.25
0.75,0.5
0.75,0.4
0.75,0.3
0.75,0.25
0.3,0.2
0.75,0.5
0.85,0.6
0.3,0.0
0.65,0.35
