common_ideas,unique_ideas,best_overall
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_s,extractive_glimpse_s
extractive_glimpse_s,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_s,extractive_glimpse_s,extractive_glimpse_s
