common_ideas,unique_ideas,best_overall
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
lexrank,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,lexrank,lexrank
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
TIE,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
lexrank,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,lexrank,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
lexrank,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
lexrank,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,lexrank
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
lexrank,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lexrank,extractive_glimpse_u
