common_ideas,unique_ideas,best_overall
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,lsa,lsa
lsa,lsa,lsa
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,lsa,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,lsa,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,lsa
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,lsa,lsa
lsa,extractive_glimpse_u,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,lsa,lsa
extractive_glimpse_u,lsa,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,lsa
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,lsa
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,lsa
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,lsa
extractive_glimpse_u,lsa,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
extractive_glimpse_u,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
lsa,extractive_glimpse_u,extractive_glimpse_u
lsa,lsa,extractive_glimpse_u
extractive_glimpse_u,extractive_glimpse_u,extractive_glimpse_u
